candidate_id,api_name,api_charge,polymer_key,cosolvent_system,ion_count,priority_tier,isolated_component_energy_eV,reactive_hotspot_risk,reactive_hotspot_flag,descriptor_barrier_proxy_eV,descriptor_stretch_tolerance_A,descriptor_peak_force_eV_per_A,descriptor_hotspot_bond_type,structure_initial_xyz,structure_relaxed_xyz,pre_energy_eV,pre_interaction_energy_eV,pre_api_polymer_min_distance_A,pre_api_polymer_contact_count,pre_api_api_min_distance_A,pre_api_api_contact_count,pre_polymer_polymer_min_distance_A,pre_polymer_polymer_contact_count,pre_solvent_polymer_min_distance_A,pre_solvent_api_min_distance_A,pre_ion_polymer_min_distance_A,pre_ion_api_min_distance_A,post_energy_eV,post_interaction_energy_eV,post_api_polymer_min_distance_A,post_api_polymer_contact_count,post_api_api_min_distance_A,post_api_api_contact_count,post_polymer_polymer_min_distance_A,post_polymer_polymer_contact_count,post_solvent_polymer_min_distance_A,post_solvent_api_min_distance_A,post_ion_polymer_min_distance_A,post_ion_api_min_distance_A,relaxed_energy_eV,interaction_energy_eV,api_polymer_min_distance_A,api_polymer_contact_count,api_api_min_distance_A,api_api_contact_count,polymer_polymer_min_distance_A,polymer_polymer_contact_count,solvent_polymer_min_distance_A,solvent_api_min_distance_A,ion_polymer_min_distance_A,ion_api_min_distance_A,pre_screening_score_proxy,score_interaction_term,score_api_polymer_term,score_api_api_term,score_polymer_polymer_term,score_hotspot_term,screening_score_proxy,score_delta_relaxation,ranking_group,shortlist_rank,shortlist_rank_neutral
screen_001,paracetamol,0,pvp,water,0,screen,-53135.82361073144,low,0,4.714931488037109,3.5414411836520263,2.9660315609959,C-C,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_001/initial.xyz,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_001/relaxed.xyz,-53049.11525740571,86.7083533257246,1.024349212343013,20.0,,,,,7.433290817278904,0.988148007424162,,,-53132.89698710383,2.926623627608933,1.3937942423570724,15.0,,,,,8.25983189952889,2.779990501751512,,,-53132.89698710383,2.926623627608933,1.3937942423570724,15.0,,,,,8.25983189952889,2.779990501751512,,,-84.7083533257246,-2.926623627608933,1.5,-0.0,0.0,-0.0,-1.426623627608933,83.28172969811567,neutral,2,1
screen_003,paracetamol,0,hpc,ethanol_water,0,screen,-65030.45909077321,medium,0,4.449121206998825,1.735583894236698,2.6084515541169577,O-C,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_003/initial.xyz,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_003/relaxed.xyz,-64885.970784668105,144.48830610510777,0.8766567058269107,35.0,,,,,5.939522317489284,0.9881480074241626,,,-65021.087389949935,9.371700823277934,1.419837499291227,23.0,,,,,5.716703309372072,2.560859706103806,,,-65021.087389949935,9.371700823277934,1.419837499291227,23.0,,,,,5.716703309372072,2.560859706103806,,,-140.98830610510777,-9.371700823277934,2.3000000000000003,-0.0,0.0,-0.0,-7.071700823277933,133.91660528182985,neutral,3,2
screen_002,paracetamol,0,peg,water,0,screen,-39090.208941827725,medium,0,4.330082416534424,1.727786387801583,3.1941783562759385,O-C,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_002/initial.xyz,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_002/relaxed.xyz,-38963.630899350326,126.5780424773984,0.9741598592535268,23.0,,,,,6.96005540462468,0.988148007424162,,,-39076.742353360336,13.466588467388648,1.6812296257697878,13.0,,,,,8.057684208794901,2.6868112385899647,,,-39076.742353360336,13.466588467388648,1.6812296257697878,13.0,,,,,8.057684208794901,2.6868112385899647,,,-124.2780424773984,-13.466588467388648,1.3,-0.0,0.0,-0.0,-12.166588467388646,112.11145401000975,neutral,4,3
screen_004,paracetamol,0,pectin,glycerol_water,0,screen,-68969.87492087689,low,0,4.593661606348178,3.4284391666790803,3.1147008824799274,O-C,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_004/initial.xyz,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_004/relaxed.xyz,-68736.4269181474,233.44800272949212,0.533959469968794,45.0,,,,,6.224672868075394,0.9881480074241616,,,-68945.37261783917,24.502303037719685,1.3226627986133852,28.0,,,,,6.426478803189641,2.6082016790548965,,,-68945.37261783917,24.502303037719685,1.3226627986133852,28.0,,,,,6.426478803189641,2.6082016790548965,,,-228.94800272949212,-24.502303037719685,2.8000000000000003,-0.0,0.0,-0.0,-21.702303037719684,207.24569969177244,neutral,5,4
screen_006,,0,pvp,water,0,screen,-67881.88456968816,low,0,4.714931488037109,3.5414411836520263,2.9660315609959,C-C,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_006/initial.xyz,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_006/relaxed.xyz,-67637.88982170679,243.9947479813709,,,,,0.7409106637582646,80.0,3.222664482775771,,,,-67847.19832962599,34.686240062175784,,,,,1.3145141786228212,65.0,3.229586274022908,,,,-67847.19832962599,34.686240062175784,,,,,1.3145141786228212,65.0,3.229586274022908,,,,-239.9947479813709,-34.686240062175784,0.0,-0.0,3.25,-0.0,-31.436240062175784,208.5585079191951,neutral,6,5
screen_005,paracetamol,0,pvp,water,0,screen,-69210.91575277444,low,0,4.714931488037109,3.5414411836520263,2.9660315609959,C-C,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_005/initial.xyz,/lustre/scratch127/mave/sge_analysis/team229/ds39/RD/LLaMA-Mesh/formulations_AI/OPoly26/evaluations/preformulation_project_v1/mechanistic_screen_relaxed_gpu_v2/structures/screen_005/relaxed.xyz,-68922.43777768908,288.47797508536314,0.7575654094911708,97.0,1.0562264421907828,30.0,,,1.3965467263121478,0.9881480074241616,,,-69163.53602140245,47.37973137198424,1.3289037371238817,77.0,1.387105437106045,28.0,,,2.513196699594631,1.9943487091373784,,,-69163.53602140245,47.37973137198424,1.3289037371238817,77.0,1.387105437106045,28.0,,,2.513196699594631,1.9943487091373784,,,-281.77797508536315,-47.37973137198424,7.7,-2.8000000000000003,0.0,-0.0,-42.47973137198423,239.29824371337892,neutral,7,6
