state_id,state_label,formal_charge,api_spin,descriptor_source_smiles,descriptor_source_note,molecular_weight,heavy_atom_count,hetero_atom_fraction,cLogP,TPSA_A2,hbond_donors,hbond_acceptors,rotatable_bonds,aromatic_ring_count,acidic_group_count,basic_group_count,ionizable_group_count,flexibility_proxy,rigidity_proxy,polarity_balance_proxy,water_affinity_proxy,self_aggregation_risk_proxy,crystallization_risk_proxy,primary_api_class,assigned_api_classes
neutral,neutral,0,1,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,parent neutral smiles,454.44700000000023,33,0.3939393939393939,0.2684000000000003,210.53999999999996,5,10,9,3,2,11,13,0.9545454545454545,0.045454545454545525,0.8991822222222223,0.8548196977995584,0.3778839393109533,0.3215383838051894,hydrophilic_neutral,"acidic_or_anionic,amphiphilic,highly_flexible_polar,hydrophilic_neutral"
monoanion,monoanionic,-1,1,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,parent smiles with metadata-only charge override,454.44700000000023,33,0.3939393939393939,0.2684000000000003,210.53999999999996,5,10,9,3,2,11,13,0.9545454545454545,0.045454545454545525,0.8991822222222223,0.9548196977995583,0.3678839393109533,0.3175383838051894,acidic_or_anionic,"acidic_or_anionic,amphiphilic,highly_flexible_polar"
dianion,dianionic,-2,1,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,parent smiles with metadata-only charge override,454.44700000000023,33,0.3939393939393939,0.2684000000000003,210.53999999999996,5,10,9,3,2,11,13,0.9545454545454545,0.045454545454545525,0.8991822222222223,1.0,0.36336590909090916,0.31573117171717174,acidic_or_anionic,"acidic_or_anionic,amphiphilic,highly_flexible_polar"
